;Empresa
1;Importante Inmobiliaria
2;Importante Inmobiliaria
3;Importante Empresa
4;Importante Empresa
5;ALTO S.A.
6;ALTO S.A.
7;Importante empresa
8;Importante empresa
9;Retail
10;Retail
11;Wom
12;Wom
13;Consorcio
14;Consorcio
15;Isapre Consalud
16;Isapre Consalud
17;Empresa de Tecnolog’_a
18;Empresa de Tecnolog’_a
19;Importante y reconocida emrpresa
20;Importante y reconocida emrpresa
21;Importante y reconocida empresa
22;Importante y reconocida empresa
23;importante y reconocida empresa
24;importante y reconocida empresa
25;importante y reconocida empresa
26;importante y reconocida empresa
27;Importante Empresa
28;Importante Empresa
29;Importante empresa de Construcci’_n
30;Importante empresa de Construcci’_n
31;Guante & Gacel
32;Guante & Gacel
33;importante compa’±’_a de la zona norte
34;importante compa’±’_a de la zona norte
35;Importante Empresa
36;Importante Empresa
37;Grupo AM
38;Grupo AM
39;Bupa
40;Bupa
41;FORUM SERVICIOS FINANCIEROS S A
42;FORUM SERVICIOS FINANCIEROS S A
43;Potencia Laboral
44;Potencia Laboral
45;MANDOMEDIO. COM S.A.
46;MANDOMEDIO. COM S.A.
47;Ingenier’_a y Gesti’_n
48;Ingenier’_a y Gesti’_n
49;EY (Ernst & Young)
50;EY (Ernst & Young)
51;EY (Ernst & Young)
52;EY (Ernst & Young)
53;EY (Ernst & Young)
54;EY (Ernst & Young)
55;Cl’_nica Universidad de Los Andes
56;Cl’_nica Universidad de Los Andes
57;LATAM CAR GROUP SPA
58;LATAM CAR GROUP SPA
59;FORUM SERVICIOS FINANCIEROS S A
60;FORUM SERVICIOS FINANCIEROS S A
61;FORUM SERVICIOS FINANCIEROS S A
62;FORUM SERVICIOS FINANCIEROS S A
63;Importante y reconocida empresa
64;Importante y reconocida empresa
65;Agrosuper
66;Agrosuper
67;Tottus
68;Tottus
69;ABCDIN
70;ABCDIN
71;Empresa de Servicios
72;Empresa de Servicios
73;MANDOMEDIO. COM S.A.
74;MANDOMEDIO. COM S.A.
75;Consorcio
76;Consorcio
77;Consorcio
78;Consorcio
79;Colgram S.A
80;Colgram S.A
